Actual,Predicted
201.3800048828125,200.22499396459074
250.0,249.26989872425304
257.0199890136719,257.58671917368287
352.5599975585937,356.19921601098247
220.25,224.47909212957524
226.77999877929688,225.18357038127675
221.3300018310547,221.102620293226
400.989990234375,408.2091535339147
210.6000061035156,214.06954145268108
240.8300018310547,242.88305510009803
240.66000366210935,243.30327312403685
251.44000244140625,253.82995730911284
207.6699981689453,207.66216478774749
338.2300109863281,343.50286367447364
345.1600036621094,344.7638796145048
198.8800048828125,196.12434221533118
288.5299987792969,282.44944318480407
244.5,244.10540259577778
410.4400024414063,405.9880151079559
239.1999969482422,239.61894702629047
213.2100067138672,212.15398414611633
238.25,239.61342596811159
217.97000122070312,216.94249128717672
421.05999755859375,438.8976301830828
210.66000366210935,211.89856894388797
